audit_unit_id,case_rows,audit_case_ids,row_dispositions,unit_disposition,markets,events,questions,unit_review_rule
final_terminal_2026-07-19,9,V4-CASE-011;V4-CASE-017;V4-CASE-019;V4-CASE-024;V4-CASE-028;V4-CASE-032;V4-CASE-054;V4-CASE-056;V4-CASE-057,event_information,event_information,2,0,Will Spain win the 2026 FIFA World Cup? | Will Argentina win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
france_norway_2026-07-10_missing_prices,5,V4-CASE-010;V4-CASE-012;V4-CASE-013;V4-CASE-014;V4-CASE-015,insufficient_data,insufficient_data,2,0,Will France win the 2026 FIFA World Cup? | Will Norway win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
france_senegal_late_match,1,V4-CASE-047,event_information,event_information,1,1,Will France win on 2026-06-16?,unresolved > event_information > not_anomalous_after_context > insufficient_data
france_senegal_terminal,1,V4-CASE-009,event_information,event_information,1,1,Will France win on 2026-06-16?,unresolved > event_information > not_anomalous_after_context > insufficient_data
germany_curacao_postmatch_terminal,1,V4-CASE-068,not_anomalous_after_context,not_anomalous_after_context,1,1,Will Curaçao win on 2026-06-14?,unresolved > event_information > not_anomalous_after_context > insufficient_data
germany_ivory_coast_postmatch,2,V4-CASE-052;V4-CASE-073,event_information;not_anomalous_after_context,event_information,1,1,Will Germany win on 2026-06-20?,unresolved > event_information > not_anomalous_after_context > insufficient_data
germany_paraguay_inplay,1,V4-CASE-043,event_information,event_information,1,1,Will Germany vs. Paraguay end in a draw?,unresolved > event_information > not_anomalous_after_context > insufficient_data
ghana_panama_postmatch_terminal,1,V4-CASE-072,not_anomalous_after_context,not_anomalous_after_context,1,1,Will Ghana win on 2026-06-17?,unresolved > event_information > not_anomalous_after_context > insufficient_data
japan_sweden_early_prematch,1,V4-CASE-065,not_anomalous_after_context,not_anomalous_after_context,1,1,Will Japan win on 2026-06-25?,unresolved > event_information > not_anomalous_after_context > insufficient_data
jordan_algeria_kickoff,1,V4-CASE-069,event_information,event_information,1,1,Will Algeria win on 2026-06-22?,unresolved > event_information > not_anomalous_after_context > insufficient_data
knockout_information_2026-07-14_15,9,V4-CASE-016;V4-CASE-018;V4-CASE-020;V4-CASE-022;V4-CASE-023;V4-CASE-026;V4-CASE-030;V4-CASE-031;V4-CASE-063,event_information,event_information,4,0,Will France win the 2026 FIFA World Cup? | Will England win the 2026 FIFA World Cup? | Will Spain win the 2026 FIFA World Cup? | Will Argentina win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
korea_czechia_early_prematch,1,V4-CASE-070,not_anomalous_after_context,not_anomalous_after_context,1,1,Will Korea Republic win on 2026-06-11?,unresolved > event_information > not_anomalous_after_context > insufficient_data
mexico_prematch_2026-06-24,1,V4-CASE-042,unusual_but_unresolved,unusual_but_unresolved,1,1,Will Mexico win on 2026-06-24?,unresolved > event_information > not_anomalous_after_context > insufficient_data
morocco_outright_2026-06-30,2,V4-CASE-021;V4-CASE-055,unusual_but_unresolved,unusual_but_unresolved,1,0,Will Morocco win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
norway_terminal_2026-07-11,1,V4-CASE-062,event_information,event_information,1,0,Will Norway win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
panama_croatia_inplay,2,V4-CASE-045;V4-CASE-071,event_information,event_information,1,1,Will Croatia win on 2026-06-23?,unresolved > event_information > not_anomalous_after_context > insufficient_data
portugal_spain_postmatch_terminal,5,V4-CASE-034;V4-CASE-037;V4-CASE-038;V4-CASE-039;V4-CASE-064,not_anomalous_after_context,not_anomalous_after_context,1,1,Will Portugal win on 2026-07-06?,unresolved > event_information > not_anomalous_after_context > insufficient_data
spain_saudi_postmatch_terminal,1,V4-CASE-048,not_anomalous_after_context,not_anomalous_after_context,1,1,Will Spain vs. Saudi Arabia end in a draw?,unresolved > event_information > not_anomalous_after_context > insufficient_data
terminal_near_zero_market,1,V4-CASE-025,not_anomalous_after_context,not_anomalous_after_context,1,0,Will Japan win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
terminal_outcome_context,1,V4-CASE-003,not_anomalous_after_context,not_anomalous_after_context,1,0,Will Spain win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
usa_paraguay_inplay,1,V4-CASE-049,event_information,event_information,1,1,Will United States win on 2026-06-12?,unresolved > event_information > not_anomalous_after_context > insufficient_data
